Priority,Unix TimeStamp,Source port,Destination port,Protocol,TTL,TOS,Datagram Length,A,P,R,S,F,TCP length,TCP options,
3,-1,0.763490101,-0.999236769,3,-0.505976096,1,-1,0,0,1,0,0,1,0,
3,-0.999000281,-0.999236769,0.531834348,3,-0.498007968,1,-1,0,0,1,0,0,1,0,
3,-0.999000279,-0.999236769,0.531834348,3,-0.498007968,1,-1,0,0,1,0,0,1,0,
3,-0.998589263,-0.997557662,0.853368137,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.99858926,-0.997557662,0.853368137,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.996057252,0.7741448,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.99605725,-0.986475554,0.7741448,3,-0.498007968,1,-0.988505747,1,0,0,1,0,6,5,
3,-0.996057245,0.7741448,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.996057223,0.7741448,-0.986475554,3,-0.505976096,1,-0.914942529,1,1,0,0,0,4,3,
3,-0.996057222,-0.986475554,0.7741448,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.99605716,-0.986475554,0.7741448,3,-0.498007968,1,-0.937356322,1,1,0,0,0,4,3,
3,-0.996057149,0.7741448,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.996057044,0.7741448,-0.986475554,3,-0.505976096,1,-0.879310345,1,1,0,0,0,4,3,
3,-0.996057006,-0.986475554,0.7741448,3,-0.498007968,1,-0.959195402,1,1,0,0,0,4,3,
3,-0.996056997,0.7741448,-0.986475554,3,-0.505976096,1,-0.886206897,1,1,0,0,0,4,3,
3,-0.996056975,-0.986475554,0.7741448,3,-0.498007968,1,-0.233908046,1,1,0,0,0,4,3,
3,-0.996056974,-0.986475554,0.7741448,3,-0.498007968,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.996056974,-0.986475554,0.7741448,3,-0.498007968,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.996056957,0.7741448,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.996056957,0.7741448,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.996056955,0.7741448,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.996056954,0.7741448,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.996056953,-0.986475554,0.7741448,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.994269294,-0.96968448,-0.960434126,3,-0.505976096,1,-0.978735632,1,1,0,0,0,1,0,
3,-0.993858075,0.570759109,-0.999236769,3,-0.498007968,1,-1,0,0,1,0,0,1,0,
3,-0.993840592,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.993815548,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.993791846,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.993767406,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.993718669,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.99362246,-0.999236769,0.570759109,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.992682077,-0.96968448,-0.95909084,3,-0.505976096,1,-0.978735632,1,1,0,0,0,1,0,
3,-0.99244476,0.982598342,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.992444758,-0.986475554,0.982598342,3,-0.498007968,1,-0.988505747,1,0,0,1,0,6,5,
3,-0.992444754,0.982598342,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.992444733,0.982598342,-0.986475554,3,-0.505976096,1,-0.914942529,1,1,0,0,0,4,3,
3,-0.992444732,-0.986475554,0.982598342,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.992444678,-0.986475554,0.982598342,3,-0.498007968,1,-0.937356322,1,1,0,0,0,4,3,
3,-0.992444655,0.982598342,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.992444556,0.982598342,-0.986475554,3,-0.505976096,1,-0.879310345,1,1,0,0,0,4,3,
3,-0.99244452,-0.986475554,0.982598342,3,-0.498007968,1,-0.959195402,1,1,0,0,0,4,3,
3,-0.992444511,0.982598342,-0.986475554,3,-0.505976096,1,-0.886206897,1,1,0,0,0,4,3,
3,-0.992444482,-0.986475554,0.982598342,3,-0.498007968,1,-0.233908046,1,1,0,0,0,4,3,
3,-0.992444481,-0.986475554,0.982598342,3,-0.498007968,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.992444481,-0.986475554,0.982598342,3,-0.498007968,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.992444463,0.982598342,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.992444463,0.982598342,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.992444462,0.982598342,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.992444462,0.982598342,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.992444461,-0.986475554,0.982598342,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.99027658,0.69901238,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.990258488,0.69901238,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.990239191,0.69901238,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.990219888,0.69901238,-0.986475554,3,-0.505976096,1,-0.995402299,0,0,0,1,0,3,3,
3,-0.988415365,0.579643113,-0.999236769,3,-0.505976096,1,-1,0,0,1,0,0,1,0,
3,-0.987412443,-0.96968448,-0.960037246,3,-0.505976096,1,-0.978735632,1,1,0,0,0,1,0,
3,-0.98705324,0.542427989,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.987025104,0.773045748,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.987025098,-0.986475554,0.773045748,3,-0.498007968,1,-0.988505747,1,0,0,1,0,6,5,
3,-0.987025093,0.773045748,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.987025073,0.773045748,-0.986475554,3,-0.505976096,1,-0.914942529,1,1,0,0,0,4,3,
3,-0.987025067,-0.986475554,0.773045748,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.987025011,-0.986475554,0.773045748,3,-0.498007968,1,-0.937356322,1,1,0,0,0,4,3,
3,-0.98702499,0.773045748,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.98702489,0.773045748,-0.986475554,3,-0.505976096,1,-0.879310345,1,1,0,0,0,4,3,
3,-0.987024848,-0.986475554,0.773045748,3,-0.498007968,1,-0.959195402,1,1,0,0,0,4,3,
3,-0.987024837,0.773045748,-0.986475554,3,-0.505976096,1,-0.886206897,1,1,0,0,0,4,3,
3,-0.98702481,-0.986475554,0.773045748,3,-0.498007968,1,-0.233908046,1,1,0,0,0,4,3,
3,-0.98702481,-0.986475554,0.773045748,3,-0.498007968,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.98702481,-0.986475554,0.773045748,3,-0.498007968,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.987024791,0.773045748,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.987024791,0.773045748,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.98702479,0.773045748,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.98702479,0.773045748,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.987024786,-0.986475554,0.773045748,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.986698247,-0.997557662,0.524018867,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.986697738,0.703378059,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.986334844,-0.997557662,0.79105799,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.985975437,0.74068477,-0.840576392,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.985975402,-0.997557662,0.50225153,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.985618232,0.760589825,-0.999236769,3,-0.498007968,1,-1,0,0,1,0,0,1,0,
3,-0.985614336,-0.997557662,0.570087466,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.985576578,-0.999236769,0.760589825,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.985523056,-0.999236769,0.760589825,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.985470437,-0.999236769,0.760589825,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.98541732,-0.999236769,0.760589825,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.985313013,-0.999236769,0.760589825,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.985242218,0.5837035,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.984886311,0.802750683,-0.840576392,3,-0.505976096,1,-0.983333333,1,1,0,0,0,4,3,
3,-0.983470801,-0.997557662,0.70963655,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.983459018,-0.986475554,-0.951031125,3,-0.505976096,1,-0.986781609,1,1,0,0,0,1,0,
3,-0.983442763,-0.986475554,-0.950970066,3,-0.505976096,1,-0.986781609,1,1,0,0,0,1,0,
3,-0.98301939,-0.997557662,0.707957442,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.982627813,-0.997557662,0.597563768,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.982627642,-0.999236769,0.793408741,3,-0.505976096,1,-0.984482759,1,1,0,0,0,4,3,
3,-0.981859034,-0.96968448,-0.89888721,3,-0.505976096,1,-0.978735632,1,1,0,0,0,1,0,
3,-0.981857751,0.561111874,-0.999236769,3,-0.498007968,1,-1,0,0,1,0,0,1,0,
3,-0.981836945,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.98180995,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.98178361,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.981757268,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.98170391,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.981607777,0.57936835,-0.986475554,3,-0.505976096,1,-0.988505747,0,0,0,1,0,6,5,
3,-0.981607775,-0.986475554,0.57936835,3,-0.498007968,1,-0.988505747,1,0,0,1,0,6,5,
3,-0.98160777,0.57936835,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.98160775,0.57936835,-0.986475554,3,-0.505976096,1,-0.914942529,1,1,0,0,0,4,3,
3,-0.981607749,-0.986475554,0.57936835,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.981607696,-0.986475554,0.57936835,3,-0.498007968,1,-0.937356322,1,1,0,0,0,4,3,
3,-0.981607676,0.57936835,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.981607574,0.57936835,-0.986475554,3,-0.505976096,1,-0.879310345,1,1,0,0,0,4,3,
3,-0.981607538,-0.986475554,0.57936835,3,-0.498007968,1,-0.959195402,1,1,0,0,0,4,3,
3,-0.98160753,0.57936835,-0.986475554,3,-0.505976096,1,-0.886206897,1,1,0,0,0,4,3,
3,-0.981607509,-0.986475554,0.57936835,3,-0.498007968,1,-0.233908046,1,1,0,0,0,4,3,
3,-0.981607509,-0.986475554,0.57936835,3,-0.498007968,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.981607508,-0.986475554,0.57936835,3,-0.498007968,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.981607491,0.57936835,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.981607491,0.57936835,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.981607488,0.57936835,-0.986475554,3,-0.505976096,1,-0.97183908,1,1,0,0,0,4,3,
3,-0.981607487,0.57936835,-0.986475554,3,-0.505976096,1,-0.993103448,1,0,0,0,1,4,3,
3,-0.981607485,-0.986475554,0.57936835,3,-0.498007968,1,-0.993103448,1,0,0,0,0,4,3,
3,-0.981597908,-0.999236769,0.561111874,3,-0.011952191,1,-0.956321839,1,1,0,0,1,4,3,
3,-0.980375502,0.801590573,-0.840576392,3,-0.505976096,1,-0.983333333,1,1,0,0,0,4,3,
3,-0.980373169,-0.997557662,0.843476668,3,-0.505976096,1,-0.761494253,1,1,0,0,0,4,3,
3,-0.979391273,0.106104318,-0.986475554,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.975152404,-0.96968448,-0.957686495,3,-0.505976096,1,-0.978735632,1,1,0,0,0,1,0,
3,-0.970894195,0.62620018,-0.840576392,3,-0.505976096,1,-0.995402299,0,0,0,1,0,3,3,
3,-0.970809345,0.723557876,-0.997557662,3,-0.505976096,1,-0.995402299,0,0,0,1,0,3,3,
3,-0.970748578,0.598357528,-0.999236769,3,-0.505976096,1,-0.995402299,0,0,0,1,0,3,3,
3,-0.970713676,0.652027904,-0.986475554,3,-0.505976096,1,-0.995402299,0,0,0,1,0,3,3,
3,-0.97025407,0.49596251,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970253467,0.495993039,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970252912,0.496023569,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970252326,0.496054098,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970251713,0.496084627,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970238375,0.49596251,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.97023788,0.495993039,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970237232,0.496023569,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970236588,0.496054098,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970235982,0.496084627,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.970235445,0.496115156,-0.999236769,3,-0.521912351,1,-1,0,0,1,0,0,1,0,
3,-0.969327968,0.730671185,-0.986475554,3,-0.505976096,1,-1,1,0,0,0,0,1,0,
